id,word,condition,preference,item
099039_es,algunos,44,1,item_1
099039_es,algunos,44,1,item_2
099039_es,algunos,44,1,item_3
099039_es,algunos,44,1,item_4
099039_es,algunos,44,1,item_5
099039_es,algunos,44,1,item_6
099039_es,algunos,44,1,item_7
099039_es,algunos,44,0,item_8
099039_es,algunos,44,0,item_9
099039_es,algunos,44,0,item_10
099039_es,algunos,34,1,item_1
099039_es,algunos,34,1,item_2
099039_es,algunos,34,1,item_3
099039_es,algunos,34,1,item_4
099039_es,algunos,34,1,item_5
099039_es,algunos,34,1,item_6
099039_es,algunos,34,1,item_7
099039_es,algunos,34,1,item_8
099039_es,algunos,34,1,item_9
099039_es,algunos,34,0,item_10
099039_es,unos,44,1,item_1
099039_es,unos,44,1,item_2
099039_es,unos,44,1,item_3
099039_es,unos,44,1,item_4
099039_es,unos,44,1,item_5
099039_es,unos,44,1,item_6
099039_es,unos,44,1,item_7
099039_es,unos,44,1,item_8
099039_es,unos,44,0,item_9
099039_es,unos,44,0,item_10
099039_es,unos,34,1,item_1
099039_es,unos,34,1,item_2
099039_es,unos,34,1,item_3
099039_es,unos,34,1,item_4
099039_es,unos,34,1,item_5
099039_es,unos,34,1,item_6
099039_es,unos,34,1,item_7
099039_es,unos,34,1,item_8
099039_es,unos,34,0,item_9
099039_es,unos,34,0,item_10
099347_es,algunos,44,1,item_1
099347_es,algunos,44,1,item_2
099347_es,algunos,44,1,item_3
099347_es,algunos,44,1,item_4
099347_es,algunos,44,1,item_5
099347_es,algunos,44,1,item_6
099347_es,algunos,44,1,item_7
099347_es,algunos,44,0,item_8
099347_es,algunos,44,0,item_9
099347_es,algunos,44,0,item_10
099347_es,algunos,34,1,item_1
099347_es,algunos,34,1,item_2
099347_es,algunos,34,1,item_3
099347_es,algunos,34,1,item_4
099347_es,algunos,34,1,item_5
099347_es,algunos,34,1,item_6
099347_es,algunos,34,1,item_7
099347_es,algunos,34,1,item_8
099347_es,algunos,34,1,item_9
099347_es,algunos,34,0,item_10
099347_es,unos,44,1,item_1
099347_es,unos,44,1,item_2
099347_es,unos,44,1,item_3
099347_es,unos,44,1,item_4
099347_es,unos,44,1,item_5
099347_es,unos,44,1,item_6
099347_es,unos,44,1,item_7
099347_es,unos,44,1,item_8
099347_es,unos,44,0,item_9
099347_es,unos,44,0,item_10
